,name,id,image,current_team_logo,current_team_color,birth_country_name,passport_country_names,current_team_name,market_value,total_matches,minutes_on_field,last_club_name,positions,age,contract_expires,goals,xg_shot,assists,xg_assist,duels_avg,duels_won,foot,height,weight,on_loan,successful_defensive_actions_avg,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,tackle_avg,possession_adjusted_tackle,shot_block_avg,interceptions_avg,possession_adjusted_interceptions,fouls_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,successful_attacking_actions_avg,goals_avg,non_penalty_goal,non_penalty_goal_avg,xg_shot_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,assists_avg,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,offensive_duels_avg,offensive_duels_won,touch_in_box_avg,progressive_run_avg,accelerations_avg,received_pass_avg,received_long_pass_avg,foul_suffered_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,xg_assist_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,smart_passes_avg,accurate_smart_passes_percent,key_passes_avg,passes_to_final_third_avg,accurate_passes_to_final_third_percent,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,through_passes_avg,successful_through_passes_percent,deep_completed_pass_avg,deep_completed_cross_avg,progressive_pass_avg,successful_progressive_pass_percent,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent,Unnamed: 0
25,L. Meikle,68088,https://cdn5.wyscout.com/photos/players/public/81136_100x130.png,https://cdn5.wyscout.com/photos/team/public/2751_120x120.png,000000,England,"['England', 'Jamaica']",Tamworth,0,9,158,Tamworth,"['RDMF', 'LCMF', 'RCMF']",36.0,2024-06-30,0,0.0,0,0.1,21.08,51.35,right,168,0,False,8.54,9.68,70.59,2.85,60.0,0.0,0.0,0.0,1.71,2.9,1.14,0,0.0,0,0.0,0.57,0.0,0,0.0,0.0,0,0.0,1,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,25.0,3.99,14.29,0.0,0.0,0.57,7.41,0.0,0.0,25.63,73.33,10.82,63.16,4.56,100.0,5.7,80.0,23.92,73.81,1.71,66.67,15.16,12.53,0.06,1.71,0.0,0.0,0.57,0.0,0.0,3.42,66.67,1.14,50.0,0.57,0.0,0.57,0.0,5.13,55.56,0,,0,,0,0.0,0.0,0.0,,,1.14,,,0.0,0.0,0.0,0.0,0,0.0,
26,G. Dickinson,-340534,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/3702_120x120.png,000000,England,['England'],Alfreton Town,0,1,13,Alfreton Town,"['LCMF3', 'LW']",19.0,,0,0.0,0,0.0,,,unknown,0,0,False,,,,,,,0.0,,,15.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.14,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,
27,M. Tolley,213624,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4931_120x120.png,000000,England,['England'],Rushall Olympic,0,2,44,Rushall Olympic,"['RCMF3', 'RW']",,,0,0.0,0,0.0,,,,0,0,False,,,,,,,0.0,,,3.33,,1,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.73,20.62,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,
28,P. Kay,-479543,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4918_120x120.png,000000,England,['England'],Warrington Town,0,2,18,Warrington Town,"['RDMF', 'RAMF']",,,0,0.0,0,0.0,,,,0,0,False,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.19,22.19,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,
29,J. Johnson,-290905,https://cdn5.wyscout.com/photos/players/public/g-290905_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4806_120x120.png,000000,England,['England'],Banbury United,0,8,589,Banbury United,"['RCMF', 'AMF', 'LAMF']",19.0,,1,0.6,0,0.01,17.72,43.1,,180,71,False,9.32,7.64,60.0,3.21,38.1,1.22,1.64,0.46,3.51,4.73,1.68,0,0.0,0,0.0,1.07,0.15,1,0.15,0.09,0,0.0,7,1.07,71.43,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,18.18,3.82,24.0,0.92,1.68,0.92,14.67,0.0,0.15,25.98,75.88,7.49,65.31,4.43,86.21,10.08,83.33,22.46,79.59,3.51,52.17,19.37,33.38,0.0,0.15,0.0,0.0,0.15,0.0,0.15,3.82,44.0,1.53,50.0,0.76,20.0,0.46,0.0,4.89,62.5,0,,0,,0,0.0,0.0,0.0,,,0.46,,,0.15,0.0,0.0,0.0,0,0.0,
30,D. Mchale,-572000,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g35055_120x120.png,000000,,[],Hereford FC,0,1,80,Hereford FC,"['RCMF', 'RW']",,,0,0.09,0,0.0,18.0,50.0,,0,0,False,2.25,0.0,0.0,2.25,0.0,0.0,0.0,0.0,2.25,3.75,0.0,0,0.0,0,0.0,5.63,0.0,0,0.0,0.1,0,0.0,2,2.25,0.0,0.0,0.0,1.13,0.0,0.0,0.0,1.13,0.0,0.0,10.13,55.56,14.63,61.54,1.13,5.63,0.0,16.88,1.13,3.38,24.75,68.18,9.0,62.5,3.38,100.0,3.38,66.67,21.38,73.68,2.25,50.0,20.45,41.72,0.0,0.0,1.13,0.0,0.0,0.0,0.0,4.5,50.0,2.25,50.0,0.0,0.0,2.25,0.0,5.63,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,
31,O. Peters,-470712,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4771_120x120.png,000000,England,['England'],Bishop's Stortford,0,18,1302,Bishop's Stortford,"['RCMF', 'LCMF', 'RDMF']",24.0,,0,0.92,0,0.72,13.89,42.29,right,0,0,False,5.46,3.53,68.63,3.73,35.19,0.41,0.6,0.14,2.63,3.8,0.35,2,0.14,0,0.0,1.11,0.0,0,0.0,0.06,0,0.0,13,0.9,7.69,0.0,0.0,0.48,57.14,0.14,100.0,0.35,40.0,0.07,0.83,66.67,4.35,31.75,0.55,1.04,0.35,20.39,0.69,0.48,34.29,81.85,12.65,66.67,4.77,94.2,11.68,89.94,30.9,85.68,2.9,45.24,19.25,32.59,0.05,0.55,0.07,0.0,0.48,42.86,0.14,6.15,68.54,1.38,50.0,0.62,11.11,0.41,0.28,6.15,73.03,0,,0,,0,0.0,0.0,0.0,,,0.35,,,0.76,0.14,50.0,0.83,0,0.0,
32,B. Marlow,387151,https://cdn5.wyscout.com/photos/players/public/g387151_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4771_120x120.png,000000,England,['England'],Bishop's Stortford,0,4,224,Bishop's Stortford,"['RDMF', 'LDMF', 'RCMF']",28.0,,0,0.01,0,0.0,30.13,53.33,right,182,0,False,14.06,9.64,58.33,8.84,63.64,2.41,2.86,0.4,6.03,7.14,1.61,0,0.0,0,0.0,1.61,0.0,0,0.0,0.0,0,0.0,1,0.4,0.0,0.0,0.0,1.61,25.0,0.4,0.0,1.21,33.33,0.0,1.61,75.0,4.02,40.0,0.8,0.0,0.0,10.85,0.0,0.4,23.71,62.71,10.85,40.74,4.02,100.0,6.83,82.35,18.08,75.56,4.02,20.0,21.64,30.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42,9.09,2.01,0.0,0.4,0.0,0.0,0.0,4.02,60.0,0,,0,,0,0.0,0.0,0.0,,,0.4,,,0.0,0.0,0.0,0.0,0,0.0,
33,E. Whitehouse,280953,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g16344_120x120.png,000000,England,['England'],Chester,0,41,3811,Chester,"['DMF', 'LCMF3', 'RCMF']",30.0,2024-06-30,9,8.58,2,1.82,17.29,54.37,right,180,80,False,8.27,4.89,64.73,5.62,54.2,0.26,0.38,0.19,4.84,7.0,1.02,9,0.21,0,0.0,1.16,0.21,5,0.12,0.2,1,0.02,46,1.09,39.13,19.565,0.05,0.83,28.57,0.5,23.81,0.33,35.71,0.05,0.85,52.78,3.54,38.0,1.35,0.68,0.31,21.18,0.35,1.09,36.56,80.68,13.84,66.38,5.36,94.71,12.4,90.86,32.24,86.3,3.54,41.33,18.71,32.22,0.04,0.28,0.0,0.0,0.09,50.0,0.12,6.71,67.25,1.09,50.0,0.12,40.0,0.52,0.24,6.21,74.9,0,,0,,0,0.0,0.0,0.0,,,0.57,,,0.02,0.02,0.0,0.0,5,80.0,
34,M. Anderson,236991,https://cdn5.wyscout.com/photos/players/public/g236991_100x130.png,https://cdn5.wyscout.com/photos/team/public/g23906_120x120.png,000000,England,['England'],Spennymoor Town,0,18,1165,Spennymoor Town,"['DMF', 'LCMF', 'LCMF3']",35.0,2024-06-30,3,0.66,1,2.62,9.58,49.19,,178,76,False,7.03,5.25,51.47,1.16,33.33,0.46,0.68,0.31,3.86,5.7,0.93,6,0.46,0,0.0,1.47,0.23,3,0.23,0.05,0,0.0,21,1.62,23.81,14.286,0.08,0.7,55.56,0.46,50.0,0.15,100.0,0.08,0.7,77.78,1.39,50.0,0.39,1.0,0.31,37.0,0.46,0.54,54.0,80.4,21.01,62.87,7.03,98.9,20.47,90.94,42.49,88.55,10.82,50.0,22.79,35.15,0.2,1.93,0.0,0.0,0.31,50.0,0.23,11.9,59.09,2.86,48.65,1.62,19.05,0.93,0.39,11.05,78.32,0,,0,,0,0.0,0.0,0.0,,,1.08,,,1.55,0.08,0.0,3.32,0,0.0,
35,S. Fielding,465214,https://cdn5.wyscout.com/photos/players/public/g465214_100x130.png,https://cdn5.wyscout.com/photos/team/public/g23906_120x120.png,000000,England,['England'],Spennymoor Town,0,27,1594,Spennymoor Town,"['LDMF', 'LCMF3', 'LCMF']",25.0,2024-06-30,1,1.15,4,3.16,16.49,53.08,right,188,78,False,8.86,6.72,61.34,3.84,67.65,0.56,0.77,0.23,4.18,5.68,0.73,3,0.17,0,0.0,1.47,0.06,1,0.06,0.06,0,0.0,15,0.85,53.33,6.667,0.23,1.24,22.73,0.85,20.0,0.34,16.67,0.11,1.69,40.0,3.95,35.71,0.96,0.62,0.34,22.19,0.51,0.34,38.45,73.86,14.28,53.75,6.1,94.44,14.23,85.71,29.76,82.54,7.57,47.01,23.74,35.02,0.18,0.79,0.06,0.11,0.23,25.0,0.28,8.92,50.0,1.52,37.04,0.73,23.08,0.4,0.28,8.3,71.43,0,,0,,0,0.0,0.0,0.0,,,1.41,,,0.73,0.11,50.0,1.75,0,0.0,
36,S. Essien,-489690,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g737_120x120.png,000000,England,['England'],Boston United,0,1,13,Boston United,['DMF'],25.0,,0,0.0,0,0.0,,,,0,0,False,,,,,,,30.0,,,15.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,
37,D. Smalley,-502582,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4918_120x120.png,000000,England,['England'],Warrington Town,0,1,9,Warrington Town,['LDMF'],,,0,0.0,0,0.0,,,,0,0,False,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.66,63.53,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,
38,B. Dixon,246283,https://cdn5.wyscout.com/photos/players/public/g246283_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4918_120x120.png,000000,England,['England'],Warrington Town,0,23,2028,Warrington Town,"['LDMF', 'RDMF', 'AMF']",34.0,2024-06-30,2,4.07,2,3.27,24.81,45.62,right,193,73,False,5.5,4.88,62.73,4.04,41.76,0.27,0.39,0.13,2.17,3.15,0.75,3,0.13,2,0.09,3.59,0.09,2,0.09,0.18,0,0.0,34,1.51,29.41,5.882,0.09,0.44,20.0,0.09,0.0,0.36,25.0,0.04,4.62,58.65,12.47,41.99,0.98,2.31,1.11,22.28,0.58,1.42,35.15,79.67,11.09,64.4,5.99,91.11,11.72,87.5,31.95,82.78,2.8,52.38,17.87,35.72,0.15,0.89,0.0,0.04,0.75,47.06,0.44,6.61,67.11,1.6,55.56,1.11,64.0,0.93,0.09,6.61,73.83,0,,0,,0,0.0,0.0,0.0,,,0.18,,,0.0,0.0,0.0,0.0,2,0.0,
39,J. Bainbridge,458110,https://cdn5.wyscout.com/photos/players/public/g458110_100x130.png,https://cdn5.wyscout.com/photos/team/public/2749_120x120.png,000000,England,['England'],Southport,0,19,1236,Southport,"['LCMF', 'RCMF', 'LCB3']",25.0,2024-06-30,3,2.21,0,0.08,20.24,55.76,right,183,0,False,7.86,5.83,63.75,5.68,66.67,0.44,0.6,0.36,3.71,5.07,1.17,2,0.15,0,0.0,1.24,0.22,3,0.22,0.16,1,0.07,15,1.09,46.67,20.0,0.0,0.8,18.18,0.22,0.0,0.51,28.57,0.22,1.24,47.06,4.08,41.07,1.89,1.02,0.22,11.65,0.8,0.87,24.47,72.32,10.63,62.33,4.0,94.55,5.53,76.32,20.75,77.89,2.91,47.5,17.7,26.61,0.01,0.15,0.0,0.0,0.07,0.0,0.07,4.88,59.7,1.17,25.0,0.22,33.33,0.22,0.22,4.81,63.64,0,,0,,0,0.0,0.0,0.0,,,0.51,,,0.0,0.0,0.0,0.07,0,0.0,
40,W. Hatfield,132600,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g24446_120x120.png,000000,England,['England'],Darlington 1883,0,44,4071,Darlington 1883,"['RCMF', 'RCMF3', 'LCMF']",32.0,2025-06-30,5,5.67,2,2.14,18.66,46.45,right,173,64,False,7.58,5.97,61.11,2.56,37.07,0.62,0.88,0.22,3.32,4.73,0.93,10,0.22,0,0.0,1.68,0.11,4,0.09,0.13,1,0.02,55,1.22,30.91,9.091,0.04,1.17,26.42,0.46,42.86,0.69,16.13,0.15,1.92,49.43,6.59,39.26,0.99,1.15,0.31,21.84,0.77,1.72,36.1,82.42,10.61,65.0,8.31,97.61,10.21,87.88,31.83,87.92,3.1,47.14,17.38,30.01,0.05,0.6,0.07,0.02,0.15,28.57,0.15,4.86,65.91,1.26,49.12,0.24,36.36,0.4,0.29,4.73,71.03,0,,0,,0,0.0,0.0,0.0,,,0.38,,,0.62,0.13,66.67,0.8,2,50.0,
41,D. Weeks,211039,https://cdn5.wyscout.com/photos/players/public/82474_100x130.png,https://cdn5.wyscout.com/photos/team/public/g16344_120x120.png,000000,Wales,['Wales'],Chester,0,45,4248,Chester,"['RCMF3', 'LCMF3']",28.0,2026-06-30,4,6.23,3,11.01,20.74,51.07,,0,0,False,9.47,7.39,64.76,2.92,43.48,0.06,0.09,0.15,4.62,6.76,0.78,6,0.13,0,0.0,3.83,0.08,4,0.08,0.13,1,0.02,68,1.44,32.35,7.353,0.06,2.58,50.0,0.51,50.0,2.01,49.47,0.36,3.45,55.21,8.03,45.65,1.21,1.5,0.49,30.32,0.32,0.93,48.77,77.24,19.66,66.92,5.66,88.39,17.67,87.29,39.26,84.3,6.97,47.72,20.47,34.23,0.23,2.1,0.08,0.02,0.44,38.1,0.44,10.11,63.1,4.77,55.11,1.06,20.0,1.55,1.25,10.93,79.65,0,,0,,0,0.0,0.0,0.0,,,0.57,,,1.4,0.0,0.0,3.39,2,50.0,
42,B. Liddle,423979,https://cdn5.wyscout.com/photos/players/public/g423979_100x130.png,https://cdn5.wyscout.com/photos/team/public/g24446_120x120.png,000000,England,['England'],Darlington 1883,0,27,1478,Darlington 1883,"['LCMF', 'LW', 'LCMF3']",25.0,2024-06-30,1,2.16,0,1.1,14.68,41.08,left,170,75,False,6.94,5.85,48.96,3.29,31.48,1.22,1.81,0.12,2.86,4.25,1.95,6,0.37,0,0.0,0.97,0.06,1,0.06,0.13,0,0.0,15,0.91,20.0,6.667,0.0,1.58,19.23,1.28,9.52,0.24,50.0,0.24,0.79,46.15,2.44,35.0,1.58,0.3,0.06,28.07,1.34,0.37,42.44,79.05,14.68,66.39,9.38,96.1,12.24,79.6,36.84,85.62,4.02,42.42,17.56,29.67,0.07,0.67,0.0,0.0,0.49,25.0,0.12,6.45,66.04,2.01,21.21,1.04,23.53,0.49,0.37,6.27,70.87,0,,0,,0,0.0,0.0,0.0,,,0.18,,,0.55,0.0,0.0,1.4,0,0.0,
43,L. Mendes,-184113,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g35055_120x120.png,000000,Guinea-Bissau,"['Guinea-Bissau', 'Spain']",Hereford FC,0,28,2025,Hereford FC,"['RDMF', 'RAMF', 'RCMF']",31.0,,3,3.0,0,1.31,20.76,49.46,,0,0,False,9.33,6.62,64.43,4.89,53.64,0.4,0.55,0.36,4.67,6.39,0.84,6,0.27,1,0.04,2.36,0.13,3,0.13,0.13,0,0.0,21,0.93,28.57,14.286,0.0,2.62,37.29,0.44,30.0,2.13,37.5,0.44,2.0,46.67,6.04,38.97,1.29,0.89,0.36,14.04,0.62,0.93,29.64,67.32,11.6,53.26,5.02,91.15,9.29,69.86,22.22,78.2,5.02,33.63,19.39,29.77,0.06,0.53,0.0,0.0,0.4,44.44,0.4,5.2,48.72,2.84,43.75,0.8,38.89,0.58,0.93,6.31,71.83,0,,0,,0,0.0,0.0,0.0,,,0.31,,,0.27,0.0,0.0,0.31,0,0.0,
44,M. Sundire,517290,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/2751_120x120.png,000000,Zimbabwe,['Zimbabwe'],Tamworth,0,37,3192,Tamworth,"['RCMF', 'RDMF', 'LDMF']",27.0,2024-06-30,2,2.22,2,2.29,19.74,54.14,right,184,0,False,9.56,6.17,63.93,4.45,49.37,0.28,0.41,0.08,5.33,7.69,1.13,5,0.14,0,0.0,2.03,0.06,2,0.06,0.06,0,0.0,33,0.93,30.3,6.061,0.06,0.65,47.83,0.28,50.0,0.37,46.15,0.14,1.97,68.57,5.13,50.0,0.65,1.16,0.39,13.14,0.39,0.96,29.72,70.78,13.51,57.83,3.86,88.32,8.63,83.66,23.57,78.35,5.53,41.33,19.54,32.64,0.06,0.42,0.0,0.03,0.31,27.27,0.14,7.5,57.52,1.41,42.0,0.59,23.81,0.42,0.25,6.91,72.24,0,,0,,0,0.0,0.0,0.0,,,0.28,,,0.0,0.0,0.0,0.23,0,0.0,
45,J. Harris,144271,https://cdn5.wyscout.com/photos/players/public/21729_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4918_120x120.png,000000,England,['England'],Warrington Town,0,22,1739,Warrington Town,"['RDMF', 'LCMF']",37.0,2024-06-30,1,0.73,2,0.99,20.24,53.96,right,170,72,False,11.18,8.07,60.9,4.45,45.35,1.29,1.82,0.26,4.97,7.01,1.55,8,0.41,1,0.05,1.97,0.05,1,0.05,0.04,0,0.0,17,0.88,29.41,5.882,0.1,1.09,38.1,0.26,60.0,0.78,26.67,0.21,1.91,54.05,4.92,57.89,0.62,0.41,0.1,19.67,0.26,1.66,38.76,75.3,15.84,60.46,6.0,95.69,12.47,84.65,30.79,82.02,6.94,50.75,20.91,35.57,0.05,0.57,0.0,0.0,0.52,50.0,0.31,8.95,57.8,2.43,51.06,1.5,34.48,0.98,0.41,9.11,72.73,0,,0,,0,0.0,0.0,0.0,,,1.04,,,0.0,0.0,0.0,0.05,0,0.0,
46,C. Weston,53117,https://cdn5.wyscout.com/photos/players/public/16543_100x130.png,https://cdn5.wyscout.com/photos/team/public/g6882_120x120.png,000000,England,['England'],Buxton,0,30,2214,Buxton,"['DMF', 'RCMF']",37.0,2024-06-30,0,0.25,1,0.15,18.5,58.46,right,180,0,False,10.81,8.25,73.89,3.09,55.26,0.45,0.67,0.33,4.27,6.38,1.18,9,0.37,0,0.0,0.53,0.0,0,0.0,0.01,0,0.0,7,0.28,0.0,0.0,0.04,0.08,100.0,0.04,100.0,0.04,100.0,0.0,0.65,68.75,2.4,44.07,0.16,0.77,0.16,13.05,0.08,0.65,28.13,79.62,9.55,62.98,5.77,92.96,8.09,87.94,25.04,83.28,3.01,48.65,16.45,24.08,0.01,0.24,0.04,0.0,0.0,0.0,0.04,4.51,61.26,0.65,50.0,0.16,25.0,0.33,0.08,4.51,63.96,0,,0,,0,0.0,0.0,0.0,,,0.65,,,0.0,0.0,0.0,0.0,0,0.0,
47,C. Branson,138624,https://cdn5.wyscout.com/photos/players/public/g138624_100x130.png,https://cdn5.wyscout.com/photos/team/public/g25837_120x120.png,000000,England,['England'],Farsley Celtic FC,0,38,3468,Farsley Celtic FC,"['LCMF3', 'LCMF', 'DMF']",32.0,2024-06-30,2,5.7,1,0.85,21.36,49.94,right,188,0,False,8.04,5.22,62.19,7.99,54.55,0.65,0.93,0.36,4.15,5.96,1.45,11,0.29,2,0.05,0.91,0.05,2,0.05,0.15,0,0.0,51,1.32,29.41,3.922,0.03,0.26,30.0,0.13,40.0,0.13,20.0,0.0,0.93,47.22,2.78,29.91,1.58,0.26,0.1,10.98,0.49,0.39,25.85,69.18,12.61,56.38,3.11,88.33,6.59,79.53,20.87,72.64,4.72,56.04,19.25,35.58,0.02,0.21,0.05,0.0,0.1,0.0,0.05,5.32,50.73,0.93,44.44,0.29,9.09,0.49,0.08,5.48,68.72,0,,0,,0,0.0,0.0,0.0,,,0.36,,,0.1,0.05,50.0,0.03,0,0.0,
48,J. McCourt,318658,https://cdn5.wyscout.com/photos/players/public/g318658_100x130.png,https://cdn5.wyscout.com/photos/team/public/g6882_120x120.png,000000,England,['England'],Buxton,0,27,2282,Buxton,"['DMF', 'RDMF', 'RCMF']",28.0,2024-06-30,5,3.73,6,4.77,8.52,57.41,right,178,0,False,7.02,3.75,68.42,1.58,50.0,0.32,0.48,0.28,4.14,6.33,0.35,9,0.35,1,0.04,1.62,0.2,2,0.08,0.15,0,0.0,27,1.06,48.15,18.519,0.24,1.54,35.9,0.24,66.67,1.3,30.3,0.28,0.67,64.71,2.13,42.59,0.32,0.55,0.16,25.48,0.39,0.35,39.87,73.99,20.55,61.42,4.14,94.29,11.32,85.37,28.48,86.98,10.06,41.96,24.64,41.72,0.19,1.38,0.0,0.0,0.24,50.0,0.32,12.38,57.32,2.41,37.7,0.63,25.0,0.43,0.55,10.85,81.45,0,,0,,0,0.0,0.0,0.0,,,1.3,,,2.37,0.2,60.0,3.51,3,100.0,
49,R. Watson,324044,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g25837_120x120.png,000000,England,['England'],Farsley Celtic FC,0,32,2173,Farsley Celtic FC,"['DMF', 'RCMF3', 'RWB']",31.0,,3,0.87,2,3.19,19.22,43.1,right,178,0,False,8.66,7.41,63.13,3.48,29.76,0.46,0.64,0.08,3.52,4.95,1.74,8,0.33,1,0.04,1.49,0.12,3,0.12,0.04,0,0.0,26,1.08,23.08,11.538,0.08,1.53,56.76,0.29,28.57,1.2,65.52,0.21,0.66,56.25,4.47,25.93,0.25,0.46,0.12,15.99,0.41,0.5,32.39,65.22,14.99,52.49,4.72,92.98,8.49,70.24,21.12,78.04,9.82,38.4,22.51,34.09,0.13,1.24,0.0,0.08,0.04,0.0,0.04,8.86,44.86,2.77,41.79,0.99,16.67,0.37,0.83,7.66,69.73,0,,0,,0,0.0,0.0,0.0,,,0.37,,,2.44,0.21,20.0,2.11,0,0.0,
50,B. Atkinson,413222,https://cdn5.wyscout.com/photos/players/public/g413222_100x130.png,https://cdn5.wyscout.com/photos/team/public/g25837_120x120.png,000000,England,['England'],Farsley Celtic FC,0,42,3429,Farsley Celtic FC,"['RCMF3', 'LCMF3', 'RWB']",28.0,,10,8.92,1,2.54,18.19,41.85,right,188,0,False,6.43,4.99,56.84,5.8,42.53,0.24,0.33,0.16,3.36,4.64,0.79,8,0.21,0,0.0,1.36,0.26,6,0.16,0.23,1,0.03,44,1.15,43.18,22.727,0.03,0.68,34.62,0.21,25.0,0.45,41.18,0.05,1.47,39.29,4.51,29.07,1.57,0.66,0.26,11.52,1.08,0.73,22.89,68.35,9.61,55.19,4.51,92.44,4.91,68.98,18.24,76.69,4.02,35.95,17.94,31.72,0.07,0.71,0.0,0.05,0.16,33.33,0.16,4.67,47.19,1.65,41.27,0.6,13.04,0.63,0.18,4.67,61.8,0,,0,,0,0.0,0.0,0.0,,,0.45,,,0.05,0.05,0.0,0.13,5,80.0,
51,J. Evans,-543331,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g25837_120x120.png,000000,England,['England'],Farsley Celtic FC,0,25,2251,Farsley Celtic FC,"['DMF', 'RCMF', 'LCMF']",25.0,,0,0.07,0,0.62,21.99,62.73,left,186,0,False,14.75,10.72,76.87,3.68,61.96,0.36,0.5,0.32,6.16,8.48,1.0,6,0.24,0,0.0,0.52,0.0,0,0.0,0.0,0,0.0,4,0.16,25.0,0.0,0.0,0.28,71.43,0.08,50.0,0.16,75.0,0.0,0.52,46.15,3.72,38.71,0.08,0.16,0.0,14.95,0.24,1.0,35.14,78.61,14.15,66.95,5.12,94.53,10.72,86.57,30.07,82.98,4.84,51.24,17.79,31.87,0.02,0.32,0.04,0.0,0.2,20.0,0.16,5.8,65.52,0.84,52.38,0.48,25.0,0.16,0.2,7.12,62.92,0,,0,,0,0.0,0.0,0.0,,,0.4,,,0.04,0.0,0.0,0.0,0,0.0,
52,H. Pinchard,-157131,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4813_120x120.png,000000,Wales,['Wales'],Gloucester City,0,35,3339,Gloucester City,"['LDMF', 'LAMF', 'LCMF']",22.0,,3,1.59,2,3.23,24.31,43.9,,0,0,False,8.19,8.3,62.66,1.48,12.73,0.3,0.4,0.16,2.7,3.62,0.92,7,0.19,0,0.0,3.61,0.08,3,0.08,0.04,0,0.0,29,0.78,34.48,10.345,0.05,2.05,40.79,1.4,32.69,0.65,58.33,0.4,4.34,57.76,11.11,38.11,0.86,2.56,1.75,19.49,0.49,0.81,34.5,81.17,9.3,64.93,7.52,94.62,11.7,88.71,29.14,87.7,3.45,48.44,19.96,35.19,0.09,0.86,0.03,0.05,0.08,0.0,0.35,5.23,61.86,1.78,51.52,0.19,14.29,0.32,0.89,5.69,73.93,0,,0,,0,0.0,0.0,0.0,,,0.46,,,0.46,0.16,16.67,1.13,0,0.0,
